Z,A,mass
15,42,39123.84414301727
16,42,40036.60865625735
17,42,40029.41463415497
18,42,40019.82372589353
19,42,40019.22437278023
20,42,40015.69911006228
21,42,40022.125400314406
22,42,40029.14205010429
23,42,40046.62678217943
24,42,39129.81209532228
13,43,40102.51642832446
14,43,40078.57609839824
15,43,40059.286718525385
16,43,40973.54504557016
17,43,40961.58099586583
18,43,40953.73069518256
19,43,40949.1651119062
20,43,40947.33163343453
21,43,40949.55235636044
22,43,40956.4249151906
23,43,40967.82414878846
24,43,40983.77039632773
25,43,40071.61597446498
14,44,41015.05089978101
15,44,40996.85043651388
16,44,41908.03037209542
17,44,41896.755634547335
18,44,41884.56134837721
19,44,41881.45311091144
20,44,41875.7658783266
21,44,41879.41857316374
22,44,41879.68602188744
23,44,41893.42652958345
24,44,41903.81271024977
25,44,40993.20084262061
14,45,41954.32484094154
15,45,41933.19482872231
16,45,42845.38837333737
17,45,42830.46616663407
18,45,42818.95790910347
19,45,42812.11306688032
20,45,42807.916480088745
21,45,42807.65638923695
22,45,42809.718444251936
23,45,42816.84226895876
24,45,42829.213909743
25,45,42843.74894371711
26,45,41931.64202805358
15,46,42871.56894657991
16,46,42849.368647637
17,46,43766.48786413508
18,46,43750.45155788298
19,46,43744.80888331854
20,46,43737.08320350525
21,46,43738.46117018291
22,46,43736.094543609775
23,46,43743.14691619848
24,46,43750.75124282309
25,46,43767.80506572646
26,46,42849.93872202768
15,47,43809.03299469944
16,47,43787.42326301747
17,47,44702.13649917956
18,47,44686.349641459135
19,47,44676.004933704746
20,47,44669.37225044136
21,47,44667.38007331946
22,47,44666.77930340362
23,47,44669.70984625992
24,47,44677.15382269527
25,47,44689.15053989777
26,47,44704.58726016303
27,47,43790.84277786744
16,48,44724.10671907917
17,48,45638.93080303946
18,48,45620.85609147616
19,48,45610.92653573931
20,48,45598.98615064265
21,48,45598.70693435396
22,48,45594.71806608974
23,48,45598.73301339435
24,48,45600.389704531815
25,48,45613.91437386636
26,48,45625.202442958034
27,48,44713.44670057111
28,48,44729.89502343159
16,49,45663.60235583608
17,49,45643.95062475739
18,49,46557.64480637144
19,49,46545.09362475643
20,49,46533.40511752806
21,49,46528.142673267255
22,49,46526.14110854779
23,49,46526.74296365426
24,49,46529.37276805064
25,49,46537.08519456583
26,49,46549.95439106189
27,49,46564.925364275936
28,49,45651.740709935904
17,50,46582.40485110779
18,50,47492.969212537726
19,50,47480.47137013801
20,50,47466.60999269876
21,50,47461.66210281841
22,50,47454.76735579873
23,50,47456.97598327371
24,50,47455.9378591784
25,50,47463.57233640412
26,50,47471.7227635557
27,50,47488.609820138416
28,50,47502.73965417798
17,51,47520.489274299536
18,51,48431.20360627996
19,51,48415.17786875996
20,51,48401.36101580731
21,51,48394.44297212013
22,51,48387.96036000859
23,51,48385.49022022183
24,51,48386.24261036421
25,51,48389.45010038957
26,51,48397.504140257406
27,51,48410.35117930325
28,51,48426.04312895257
17,52,48460.05291012592
18,52,49367.80788534297
19,52,49352.04979961238
20,52,49334.92115630822
21,52,49328.66386703109
22,52,49319.70973000106
23,52,49317.7443957447
24,52,49313.767920078026
25,52,49318.47604151343
26,52,49320.85533268038
27,52,49334.843449207205
