ring A Z kinergy_MeV
2 46 22 606.0712
2 47 22 608.9092
2 48 22 611.6721
2 49 22 614.36
2 37 22 581.2423600011847
2 38 22 584.0052900011885
2 39 22 586.7682200011924
2 40 22 589.5311500011962
2 41 22 592.2940800012001
2 42 22 595.0570100012039
2 43 22 597.8199400012079
2 44 22 600.5828700012117
2 45 22 603.3458000012156
2 50 22 617.1604500012348
2 51 22 619.9233800012387
2 52 22 622.6863100012426
2 53 22 625.4492400012464
2 54 22 628.2121700012503
2 55 22 630.9751000012542
2 56 22 633.738030001258
2 57 22 636.5009600012619
2 58 22 639.2638900012657
2 59 22 642.0268200012696
2 60 22 644.7897500012734
2 61 22 647.5526800012773
2 62 22 650.3156100012811
2 63 22 653.0785400012851
2 64 22 655.8414700012888
2 65 22 658.6044000012928
2 44 23 632.1296
2 45 23 635.2791
2 46 23 638.3526
2 47 23 641.3423
2 39 23 616.8133600012578
2 40 23 619.8845200012624
2 41 23 622.955680001267
2 42 23 626.0268400012715
2 43 23 629.098000001276
2 48 23 644.4538000012988
2 49 23 647.5249600013033
2 50 23 650.5961200013079
2 51 23 653.6672800013124
2 52 23 656.7384400013169
2 53 23 659.8096000013215
2 54 23 662.880760001326
2 55 23 665.9519200013306
2 56 23 669.0230800013352
2 57 23 672.0942400013397
2 58 23 675.1654000013442
2 59 23 678.2365600013488
2 60 23 681.3077200013533
2 61 23 684.3788800013579
2 62 23 687.4500400013624
2 63 23 690.521200001367
2 64 23 693.5923600013715
2 65 23 696.6635200013761
2 66 23 699.7346800013806
2 67 23 702.8058400013851
2 48 24 675.9923
2 49 24 678.9376
2 50 24 681.7927
2 51 24 684.5718
2 41 24 656.0190400013388
2 42 24 658.8784000013429
2 43 24 661.7377600013469
2 44 24 664.5971200013511
2 45 24 667.4564800013552
2 46 24 670.3158400013593
2 47 24 673.1752000013635
2 52 24 687.4720000013839
2 53 24 690.331360001388
2 54 24 693.1907200013922
2 55 24 696.0500800013963
2 56 24 698.9094400014003
2 57 24 701.7688000014044
2 58 24 704.6281600014086
2 59 24 707.4875200014126
2 60 24 710.3468800014167
2 61 24 713.2062400014208
2 62 24 716.065600001425
2 63 24 718.9249600014291
2 64 24 721.7843200014331
2 65 24 724.6436800014372
2 66 24 727.5030400014414
2 67 24 730.3624000014454
2 68 24 733.2217600014495
2 69 24 736.0811200014537
2 70 24 738.9404800014578
2 48 25 708.3917
2 49 25 711.449
2 50 25 714.4233
2 51 25 717.3071
2 43 25 693.5744500025028
2 44 25 696.5465000021178
2 45 25 699.5185500017327
2 46 25 702.4906000013477
2 47 25 705.4626500009626
2 52 25 720.3228999990374
2 53 25 723.2949499986523
2 54 25 726.2669999982672
2 55 25 729.2390499978821
2 56 25 732.2110999974972
2 57 25 735.1831499971121
2 58 25 738.1551999967271
2 59 25 741.127249996342
2 60 25 744.0992999959569
2 61 25 747.0713499955718
2 62 25 750.0433999951869
2 63 25 753.0154499948018
2 64 25 755.9874999944168
2 65 25 758.9595499940317
2 66 25 761.9315999936466
2 67 25 764.9036499932615
2 68 25 767.8756999928765
2 69 25 770.8477499924915
2 70 25 773.8197999921065
2 71 25 776.7918499917214
2 72 25 779.7638999913363
2 73 25 782.7359499909512
2 48 26 741.1095
2 49 26 744.3049
2 50 26 747.3977
2 51 26 750.4245
2 45 26 731.8421400014955
2 46 26 734.9459200015001
2 47 26 738.0497000015047
2 52 26 753.5686000015278
2 53 26 756.6723800015324
2 54 26 759.7761600015369
2 55 26 762.8799400015416
2 56 26 765.9837200015462
2 57 26 769.0875000015508
2 58 26 772.1912800015555
2 59 26 775.29506000156
2 60 26 778.3988400015646
2 61 26 781.5026200015693
2 62 26 784.6064000015739
2 63 26 787.7101800015785
2 64 26 790.8139600015832
2 65 26 793.9177400015877
2 66 26 797.0215200015923
2 67 26 800.125300001597
2 68 26 803.2290800016016
2 69 26 806.3328600016062
2 70 26 809.4366400016107
2 71 26 812.5404200016154
2 72 26 815.64420000162
2 73 26 818.7479800016246
2 74 26 821.8517600016291
2 75 26 824.9555400016338
2 76 26 828.0593200016384
2 54 27 791.9842
2 55 27 794.796
2 56 27 797.4816
2 57 27 800.1105
2 47 27 773.0882500015815
2 48 27 775.7947000015852
2 49 27 778.5011500015889
2 50 27 781.2076000015927
2 51 27 783.9140500015964
2 52 27 786.6205000016001
2 53 27 789.3269500016038
2 58 27 802.8592000016225
2 59 27 805.5656500016262
2 60 27 808.27210000163
2 61 27 810.9785500016337
2 62 27 813.6850000016374
2 63 27 816.3914500016411
2 64 27 819.0979000016448
2 65 27 821.8043500016486
2 66 27 824.5108000016523
2 67 27 827.2172500016561
2 68 27 829.9237000016598
2 69 27 832.6301500016635
2 70 27 835.3366000016672
2 71 27 838.043050001671
2 72 27 840.7495000016747
2 73 27 843.4559500016784
2 74 27 846.1624000016822
2 75 27 848.8688500016858
2 76 27 851.5753000016896
2 77 27 854.2817500016934
2 78 27 856.988200001697
2 55 28 830.4657
2 56 28 833.3205
2 57 28 836.1173
2 58 28 838.8241
2 48 28 810.9906999650655
2 49 28 813.7778999691648
2 50 28 816.5650999732641
2 51 28 819.3522999773634
2 52 28 822.1394999814626
2 53 28 824.9266999855619
2 54 28 827.7138999896612
2 59 28 841.6499000101575
2 60 28 844.4371000142568
2 61 28 847.224300018356
2 62 28 850.0115000224553
2 63 28 852.7987000265546
2 64 28 855.5859000306539
2 65 28 858.3731000347531
2 66 28 861.1603000388524
2 67 28 863.9475000429516
2 68 28 866.7347000470509
2 69 28 869.5219000511502
2 70 28 872.3091000552495
2 71 28 875.0963000593487
2 72 28 877.883500063448
2 73 28 880.6707000675472
2 74 28 883.4579000716465
2 75 28 886.2451000757458
2 76 28 889.0323000798451
2 77 28 891.8195000839443
2 78 28 894.6067000880436
2 79 28 897.3939000921429
2 80 28 900.1811000962421
2 81 28 902.9683001003414
2 82 28 905.7555001044407
3 1 1 3.7425
3 2 1 4.8076
3 3 1 5.5304
3 4 1 6.481400003852434
3 5 1 7.3753500059737025
3 6 1 8.26930000809497
3 7 1 9.163250010216238
3 3 2 13.4513
3 4 2 14.9218
3 5 2 16.1704
3 6 2 17.566933331615367
3 7 2 18.926483330678295
3 8 2 20.286033329741223
3 9 2 21.64558332880415
3 10 2 23.005133327867078
3 6 3 28.3748
3 7 3 29.9061
3 8 3 31.2625
3 9 3 32.4661
3 3 3 24.368740000044415
3 4 3 25.73177000004521
3 5 3 27.094800000046
3 10 3 33.90995000004996
3 11 3 35.27298000005076
3 12 3 36.636010000051556
3 13 3 37.99904000005235
3 9 4 45.791
3 10 4 47.3908
3 11 4 48.8567
3 12 4 50.2012
3 5 4 39.976850000446134
3 6 4 41.44650000036502
3 7 4 42.916150000283906
3 8 4 44.38580000020279
3 13 4 51.734049999797215
3 14 4 53.2036999997161
3 15 4 54.673349999634986
3 16 4 56.14299999955387
3 10 5 61.9367
3 11 5 63.8688
3 12 5 65.6612
3 13 5 67.322
3 6 5 54.82561000010432
3 7 5 56.62044000010606
3 8 5 58.41527000010778
3 9 5 60.21010000010952
3 14 5 69.18425000011817
3 15 5 70.97908000011991
3 16 5 72.77391000012165
3 17 5 74.56874000012337
3 18 5 76.3635700001251
3 19 5 78.15840000012683
3 20 5 79.95323000012857
3 21 5 81.7480600001303
3 14 6 85.8708
3 15 6 87.71
3 17 6 91.0473
3 18 6 92.5656
3 8 6 75.91690500014589
3 9 6 77.58959500014737
3 10 6 79.26228500014884
3 11 6 80.93497500015032
3 12 6 82.60766500015178
3 13 6 84.28035500015326
3 16 6 89.29842500015768
3 19 6 94.3164950001621
3 20 6 95.98918500016357
3 21 6 97.66187500016505
3 22 6 99.33456500016652
3 23 6 101.00725500016799
3 17 7 109.7133
3 18 7 111.5787
3 19 7 113.3337
3 20 7 115.0069
3 10 7 97.4177199571426
3 11 7 99.18129996218464
3 12 7 100.94487996722668
3 13 7 102.70845997226874
3 14 7 104.47203997731079
3 15 7 106.23561998235283
3 16 7 107.99919998739489
3 21 7 116.81710001260512
3 22 7 118.58068001764717
3 23 7 120.34426002268921
3 24 7 122.10784002773127
3 25 7 123.87142003277332
3 16 8 126.3597
3 17 8 128.6829
3 18 8 130.8694
3 19 8 132.9413
3 11 8 115.45798000022569
3 12 8 117.6511100002283
3 13 8 119.8442400002309
3 14 8 122.0373700002335
3 15 8 124.2305000002361
3 20 8 135.1961500002491
3 21 8 137.38928000025172
3 22 8 139.5824100002543
3 23 8 141.7755400002569
3 24 8 143.96867000025952
3 25 8 146.16180000026213
3 26 8 148.35493000026472
3 27 8 150.54806000026733
3 28 8 152.7411900002699
3 18 9 150.683
3 19 9 153.0658
3 20 9 155.3375
3 21 9 157.4861
3 13 9 139.4004500002735
3 14 9 141.6685500002763
3 15 9 143.93665000027906
3 16 9 146.20475000028182
3 17 9 148.47285000028458
3 22 9 159.81335000029844
3 23 9 162.0814500003012
3 24 9 164.34955000030396
3 25 9 166.61765000030672
3 26 9 168.88575000030949
3 27 9 171.15385000031227
3 28 9 173.42195000031504
3 29 9 175.6900500003178
3 30 9 177.9581500003206
3 31 9 180.22625000032335
3 20 10 176.0679
3 21 10 178.514
3 22 10 180.8364
3 23 10 183.0565
3 15 10 164.48137000032398
3 16 10 166.81019000032688
3 17 10 169.13901000032973
3 18 10 171.46783000033264
3 19 10 173.7966500003355
3 24 10 185.4407500003499
3 25 10 187.7695700003528
3 26 10 190.09839000035566
3 27 10 192.42721000035854
3 28 10 194.75603000036142
3 29 10 197.0848500003643
3 30 10 199.41367000036718
3 31 10 201.74249000037005
3 32 10 204.07131000037293
3 33 10 206.4001300003758
3 34 10 208.7289500003787
3 22 11 202.2564
3 23 11 204.7121
3 24 11 207.067
3 25 11 209.3102
3 17 11 190.55083000037658
3 18 11 192.9024600003795
3 19 11 195.25409000038243
3 20 11 197.60572000038536
3 21 11 199.9573500003883
3 26 11 211.71550000040293
3 27 11 214.06713000040583
3 28 11 216.41876000040875
3 29 11 218.77039000041168
3 30 11 221.1220200004146
3 31 11 223.47365000041754
3 32 11 225.82528000042046
3 33 11 228.1769100004234
3 34 11 230.52854000042632
3 35 11 232.88017000042925
3 36 11 235.23180000043217
3 37 11 237.5834300004351
3 38 11 239.935060000438
3 39 11 242.28669000044096
3 24 12 229.7688
3 25 12 232.2774
3 26 12 234.6616
3 27 12 236.9579
3 19 12 217.84795000043158
3 20 12 220.24310000043465
3 21 12 222.63825000043767
3 22 12 225.0334000004407
3 23 12 227.42855000044375
3 28 12 239.40430000045896
3 29 12 241.799450000462
3 30 12 244.19460000046504
3 31 12 246.5897500004681
3 32 12 248.98490000047113
3 33 12 251.38005000047417
3 34 12 253.7752000004772
3 35 12 256.17035000048025
3 36 12 258.5655000004833
3 37 12 260.96065000048634
3 38 12 263.35580000048935
3 39 12 265.7509500004924
3 40 12 268.1461000004955
3 41 12 270.5412500004985
3 26 13 258.3977
3 27 13 260.9269
3 28 13 263.3629
3 29 13 265.6942
3 21 13 246.2838500004891
3 22 13 248.71640000049226
3 23 13 251.1489500004954
3 24 13 253.58150000049852
3 25 13 256.01405000050164
3 30 13 268.17680000051735
3 31 13 270.6093500005205
3 32 13 273.04190000052364
3 33 13 275.47445000052676
3 34 13 277.90700000052993
3 35 13 280.33955000053305
3 36 13 282.77210000053617
3 37 13 285.20465000053935
3 38 13 287.63720000054246
3 39 13 290.0697500005456
3 40 13 292.50230000054876
3 41 13 294.9348500005519
3 42 13 297.367400000555
3 43 13 299.79995000055817
3 28 14 288.1624
3 29 14 290.7319
3 30 14 293.2085
3 31 14 295.5956
3 22 14 273.34244992979905
3 23 14 275.82006993918577
3 24 14 278.2976899485725
3 25 14 280.7753099579592
3 26 14 283.25292996734595
3 27 14 285.7305499767327
3 32 14 298.11865002366625
3 33 14 300.596270033053
3 34 14 303.0738900424397
3 35 14 305.5515100518264
3 36 14 308.02913006121315
3 37 14 310.5067500705999
3 38 14 312.9843700799866
3 39 14 315.46199008937333
3 40 14 317.93961009876
3 41 14 320.4172301081467
3 42 14 322.89485011753345
3 43 14 325.3724701269202
3 44 14 327.8500901363069
3 45 14 330.32771014569363
3 30 15 319.7116
3 31 15 322.3463
3 32 15 324.8955
3 33 15 327.3537
3 24 15 304.47015000060935
3 25 15 307.01770000061276
3 26 15 309.5652500006162
3 27 15 312.1128000006196
3 28 15 314.66035000062294
3 29 15 317.20790000062635
3 34 15 329.9456500006433
3 35 15 332.4932000006467
3 36 15 335.04075000065006
3 37 15 337.5883000006535
3 38 15 340.1358500006569
3 39 15 342.68340000066024
3 40 15 345.23095000066365
3 41 15 347.778500000667
3 42 15 350.3260500006704
3 43 15 352.87360000067383
3 44 15 355.42115000067724
3 45 15 357.9687000006806
3 46 15 360.516250000684
3 47 15 363.06380000068737
3 34 16 355.0671
3 35 16 357.5053
3 36 16 359.8517
3 37 16 362.1431
3 26 16 336.24611999214244
3 27 16 338.6035599929709
3 28 16 340.9609999937993
3 29 16 343.3184399946278
3 30 16 345.6758799954563
3 31 16 348.0333199962847
3 32 16 350.39075999711315
